The Strongest Man—Judge Samson	https://cms-imgp.jw-cdn.org/img/p/1101978108/univ/art/1101978108_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/samson/
Samuel—A Little Boy Who Serves God	https://cms-imgp.jw-cdn.org/img/p/1101978109/univ/art/1101978109_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/samuel/
The Sun Stands Still	https://cms-imgp.jw-cdn.org/img/p/1101978103/univ/art/1101978103_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/sun-stand-still/
The Tabernacle, a Tent for Worship	https://cms-imgp.jw-cdn.org/img/p/1101978091/univ/art/1101978091_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/tabernacle/
Moses and the Ten Commandments	https://cms-imgp.jw-cdn.org/img/p/1101978089/univ/art/1101978089_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/ten-commandments/
Joshua and the Walls of Jericho	https://cms-imgp.jw-cdn.org/img/p/1101978100/univ/art/1101978100_univ_lsr_lg.jpg	/en/library/books/bible-stories/3/walls-of-jericho/
Israel’s First King to Captivity in Babylon	https://cms-imgp.jw-cdn.org/img/p/my/E/pt/my_E_xs.jpg	/en/library/books/bible-stories/4/
David and Abigail	https://cms-imgp.jw-cdn.org/img/p/1101978115/univ/art/1101978115_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/david-abigail/
David and Goliath	https://cms-imgp.jw-cdn.org/img/p/1101978113/univ/art/1101978113_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/david-and-goliath/
David and Bathsheba	https://cms-imgp.jw-cdn.org/img/p/1101978117/univ/art/1101978117_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/david-bathsheba/
David Becomes King	https://cms-imgp.jw-cdn.org/img/p/1101978116/univ/art/1101978116_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/david-becomes-king/
God Chooses David as King of Israel	https://cms-imgp.jw-cdn.org/img/p/1101978112/univ/art/1101978112_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/david-king-of-israel/
Isaiah’s Prophecy: God Promises a Paradise	https://cms-imgp.jw-cdn.org/img/p/1101978126/univ/art/1101978126_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/isaiah-prophecy/
Jerusalem and the Temple Are Destroyed	https://cms-imgp.jw-cdn.org/img/p/1101978131/univ/art/1101978131_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/jerusalem-temple/
Ahab and Jezebel	https://cms-imgp.jw-cdn.org/img/p/1101978121/univ/art/1101978121_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/jezebel-ahab/
Jonah and the Big Fish	https://cms-imgp.jw-cdn.org/img/p/1101978125/univ/art/1101978125_univ_lsr_lg.jpg	/en/library/books/bible-stories/4/jonah-big-fish/
